"id","code","name","account_type","reconcile","currency_id"
"cross_account_702","7.02","(-) COSTO DE PRODUCCIÓN Y/O TENENCIA DE ACTIVOS BIOLÓGICOS","expense_direct_cost",,
"cross_account_70201","7.02.01","(-) COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA","expense_direct_cost",,
"cross_account_70202","7.02.02","(-) COSTO DE PRODUCCIÓN Y/O TENENCIA DE GANADO","expense_direct_cost",,
"cross_account_70203","7.02.03","(-) COSTO DE PRODUCCIÓN Y/O TENENCIA DE BIENES DE LA ACTIVIDAD FORESTAL","expense_direct_cost",,
"cross_account_70204","7.02.04","(-) MERMAS Y MORTANDAD","expense_direct_cost",,
"cross_account_801","8.01","INTERESES GANADOS","income_other",,
"cross_account_802","8.02","COMISIONES COBRADAS","income_other",,
"cross_account_803","8.03","DESCUENTOS OBTENIDOS","income_other",,
"cross_account_804","8.04","SUBVENCIONES ","income_other",,
"cross_account_805","8.05","RESULTADO POR DIFERENCIA DE CAMBIO","income_other",,
"cross_account_1001","10.01","SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL","expense",,
"cross_account_100101","10.01.01","SUELDOS Y JORNALES ","expense",,
"cross_account_100102","10.01.02","APORTE PATRONAL ","expense",,
"cross_account_100103","10.01.03","OTROS BENEFICIOS AL PERSONAL","expense",,
"cross_account_1002","10.02","COMISIONES PAGADAS SOBRE VENTAS","expense",,
"cross_account_1003","10.03","VIÁTICOS A VENDEDORES","expense",,
"cross_account_1004","10.04","PUBLICIDAD Y PROPAGANDA","expense",,
"cross_account_1005","10.05","FLETES PAGADOS","expense",,
"cross_account_1101","11.01","SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL","expense",,
"cross_account_110101","11.01.01","SUELDOS Y JORNALES ","expense",,
"cross_account_110102","11.01.02","APORTE PATRONAL ","expense",,
"cross_account_110103","11.01.03","OTROS BENEFICIOS AL PERSONAL","expense",,
"cross_account_1102","11.02","REMUNERACIÓN PERSONAL SUPERIOR ","expense",,
"cross_account_1103","11.03","GASTOS DE REPRESENTACIÓN","expense",,
"cross_account_1104","11.04","HONORARIOS PROFESIONALES ","expense",,
"cross_account_1105","11.05","ALQUILERES","expense",,
"cross_account_1106","11.06","AGUA, LUZ, TELÉFONO E INTERNET ","expense",,
"cross_account_1107","11.07","MOVILIDAD","expense",,
"cross_account_1108","11.08","COMBUSTIBLES Y LUBRICANTES","expense",,
"cross_account_1109","11.09","REPARACIONES Y MANTENIMIENTOS","expense",,
"cross_account_1110","11.10","SEGUROS PAGADOS","expense",,
"cross_account_1111","11.11","ÚTILES DE OFICINA","expense",,
"cross_account_1112","11.12","GASTOS PAGADOS EN EL EXTERIOR ","expense",,
"cross_account_1113","11.13","JUICIOS Y GASTOS JUDICIALES ","expense",,
"cross_account_1114","11.14","GASTOS DE COBRANZAS ","expense",,
"cross_account_1115","11.15","DONACIONES Y CONTRIBUCIONES ","expense",,
"cross_account_1116","11.16","COMISIONES Y GASTOS BANCARIOS OPERACIONALES","expense",,
"cross_account_1117","11.17","IMPUESTOS, PATENTES, TASAS Y OTRAS CONTRIBUCIONES","expense",,
"cross_account_1118","11.18","MULTAS Y SANCIONES","expense",,
"cross_account_1301","13.01","INTERESES PAGADOS A ENTIDADES BANCARIAS Y FINANCIERAS","expense",,
"cross_account_1302","13.02","OTROS INTERESES PAGADOS","expense",,
"cross_account_1303","13.03","COMISIONES Y GASTOS BANCARIOS SOBRE OPERACIONES CREDITICIAS","expense",,
