"id","code","name"
"rnc_001","CFR","Costo y flete"
"rnc_002","CIF","Costo, seguro y flete"
"rnc_003","CIP","Transporte y seguro pagados hasta"
"rnc_004","CPT","Transporte pagado hasta"
"rnc_005","DAP","Entregada en lugar convenido"
"rnc_006","DAT","Entregada en terminal"
"rnc_007","DDP","Entregada derechos pagados"
"rnc_008","EXW","En fábrica"
"rnc_009","FAS","Franco al costado del buque"
"rnc_010","FCA","Franco transportista"
"rnc_011","FOB","Franco a bordo"
