"id","code_alfa_3","code_numeric"
"base.gp","GLP","312"
"base.gu","GUM","316"
"base.gt","GTM","320"
"base.gy","GUY","328"
"base.gf","GUF","254"
"base.gg","GGY","831"
"base.gn","GIN","324"
"base.gq","GNQ","226"
"base.gw","GNB","624"
"base.ht","HTI","332"
"base.nl","NLD","528"
"base.hn","HND","340"
"base.hk","HKG","344"
"base.hu","HUN","348"
"base.in","IND","356"
"base.id","IDN","360"
"base.iq","IRQ","368"
"base.ie","IRL","372"
"base.ir","IRN","364"
"base.bv","BVT","74"
"base.nf","NFK","574"
"base.im","IMN","833"
"base.cx","CXR","162"
"base.is","ISL","352"
"base.ky","CYM","136"
"base.cc","CCK","166"
"base.ck","COK","184"
"base.fo","FRO","234"
"base.gs","SGS","239"
"base.hm","HMD","334"
"base.fk","FLK","238"
"base.mp","MNP","580"
"base.mh","MHL","584"
"base.pn","PCN","612"
"base.sb","SLB","90"
"base.tc","TCA","796"
"base.vg","VGB","92"
"base.vi","VIR","850"
"base.ax","ALA","248"
"base.il","ISR","376"
"base.it","ITA","380"
"base.jm","JAM","388"
"base.jp","JPN","392"
"base.je","JEY","832"
"base.jo","JOR","400"
"base.kz","KAZ","398"
"base.ke","KEN","404"
"base.kg","KGZ","417"
"base.ki","KIR","296"
"base.xk","",""
"base.kw","KWT","414"
"base.la","LAO","418"
"base.ls","LSO","426"
"base.lv","LVA","428"
"base.lr","LBR","430"
"base.ly","LBY","434"
"base.li","LIE","438"
"base.lt","LTU","440"
"base.lu","LUX","442"
"base.lb","LBN","422"
"base.mo","MAC","446"
"base.mk","MKD","807"
"base.mg","MDG","450"
"base.my","MYS","458"
"base.mw","MWI","454"
"base.mv","MDV","462"
"base.ml","MLI","466"
"base.mt","MLT","470"
"base.ma","MAR","504"
"base.mq","MTQ","474"
"base.mu","MUS","480"
"base.mr","MRT","478"
"base.yt","MYT","175"
"base.fm","FSM","583"
"base.md","MDA","498"
"base.mn","MNG","496"
"base.me","MNE","499"
"base.ms","MSR","500"
"base.mz","MOZ","508"
"base.mx","MEX","484"
"base.mc","MCO","492"
"base.na","NAM","516"
"base.nr","NRU","520"
"base.np","NPL","524"
"base.ni","NIC","558"
"base.ng","NGA","566"
"base.nu","NIU","570"
"base.no","NOR","578"
"base.nc","NCL","540"
"base.nz","NZL","554"
"base.ne","NER","562"
"base.om","OMN","512"
"base.pk","PAK","586"
"base.pw","PLW","585"
"base.pa","PAN","591"
"base.pg","PNG","598"
"base.py","PRY","600"
"base.pe","PER","604"
"base.pf","PYF","258"
"base.pl","POL","616"
"base.pt","PRT","620"
"base.pr","PRI","630"
"base.qa","QAT","634"
"base.uk","GBR","826"
"base.cf","CAF","140"
"base.cz","CZE","203"
"base.cd","COD","180"
"base.do","DOM","214"
"base.re","REU","638"
"base.rw","RWA","646"
"base.ro","ROU","642"
"base.ws","WSM","882"
"base.as","ASM","16"
"base.bl","BLM","652"
