"id","code","name"
"rcdn_001","1","Devolución y Ajuste de precios"
"rcdn_002","2","Devolución"
"rcdn_003","3","Descuento"
"rcdn_004","4","Bonificación"
"rcdn_005","5","Crédito incobrable"
"rcdn_006","6","Recupero de costo"
"rcdn_007","7","Recupero de gasto"
"rcdn_008","8","Ajuste de precio"
