Name,Price,Category,POS_Category,Image_URL,Local_Image_Path
MORSA DE BANCO 125MM - WADFOW,₲ 336.300,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBK0lZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--88c9ba7028cef2babd4ccee6370152e58c77b747/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126072.jpg,/opt/odoo/odoo8084/electropar_images/MORSA_DE_BANCO_125MM_-_WADFOW.jpg
ENGRAPADORA MANUAL (4-8MM)- WGU1608 - WADFOW,₲ 36.100,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBK1VZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--833a8da4ff433de3a62f52c872a11f20ce8ca438/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126074.jpg,/opt/odoo/odoo8084/electropar_images/ENGRAPADORA_MANUAL__4-8MM_-_WGU1608_-_WADFOW.jpg
ENGRAPADORA MANUAL 3-EN-1 (4-14MM) - WGU2614 - WADFOW,₲ 45.700,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBK1lZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c634a16186bce303acb076fb871d3469100bcf18/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126075.jpg,/opt/odoo/odoo8084/electropar_images/ENGRAPADORA_MANUAL_3-EN-1__4-14MM__-_WGU2614_-_WADFOW.jpg
REMACHADORA Y JUEGO DE RIVETES (40 PZS) - WADFOW,₲ 171.300,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBK3dZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--04e85ed89fea4577af65edb6757b6af150ed9bad/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126078.jpg,/opt/odoo/odoo8084/electropar_images/REMACHADORA_Y_JUEGO_DE_RIVETES__40_PZS__-_WADFOW.jpg
REMACHADORA DE PERFILES 280MM - WADFOW,₲ 107.600,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBKzBZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4e69be8749b9dfe862ae5f98064e1982c82b4ea3/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126079.jpg,/opt/odoo/odoo8084/electropar_images/REMACHADORA_DE_PERFILES_280MM_-_WADFOW.jpg
REMACHADORA DE PERFILES 250MM - WADFOW,₲ 99.900,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL0FZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--930ba8b1568eeb1309659b395389a8279ae18357/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126080.jpg,/opt/odoo/odoo8084/electropar_images/REMACHADORA_DE_PERFILES_250MM_-_WADFOW.jpg
PLEGADORA MANUAL DE MANDÍBULA RECTA 3 - WADFOW,₲ 98.000,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL0VZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0e5b5cb0b7903b01af00733ad729f94d9354b7ff/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126081.jpg,/opt/odoo/odoo8084/electropar_images/PLEGADORA_MANUAL_DE_MAND_BULA_RECTA_3_-_WADFOW.jpg
PLEGADORA MANUAL DE MANDÍBULA DESPLAZADA 3 - WADFOW,₲ 98.000,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL1VZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--443f84477c50375e66338fce73bffff14ed10667/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126082.jpg,/opt/odoo/odoo8084/electropar_images/PLEGADORA_MANUAL_DE_MAND_BULA_DESPLAZADA_3_-_WADFOW.jpg
PLEGADORA MANUAL DE MANDÍBULA RECTA 6 - WADFOW,₲ 118.000,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL2NZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d2fdd18f9ccddd94ea186d62a93d999105628063/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126083.jpg,/opt/odoo/odoo8084/electropar_images/PLEGADORA_MANUAL_DE_MAND_BULA_RECTA_6_-_WADFOW.jpg
TRANSPORTADOR DE PANELES - WADFOW,₲ 37.300,FERRETERÍA EN GENERAL,FERRETERÍA EN GENERAL,https://electropar.b-cdn.net/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL2tZQWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ced61fabb6ef76771be81c2b7cfc67e33c005a54/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwQWl3QmFRSXNBUT09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--6cb9da79ecc04d7c8e10b3563f9294560e1bfed2/126084.jpg,/opt/odoo/odoo8084/electropar_images/TRANSPORTADOR_DE_PANELES_-_WADFOW.jpg
